dataset,group,table_id,gt_text,vision_text,text_text,winner,vt_diff,vision_vs_gt,text_vs_gt
SciTSR,test,test::0006012v1.14,parent,,parent,text,missing cell,missing cell,correct
SciTSR,test,test::0006012v1.14,label,,label,text,missing cell,missing cell,correct
SciTSR,test,test::0107006v1.3,answer type,,answer type,text,empty content,empty content,correct
SciTSR,test,test::0107006v1.3,,answer type,,text,empty content,empty content,correct
SciTSR,test,test::0107006v1.3,defaultnp,defaultnp,defaultrap,vision,other semantic,correct,other semantic
SciTSR,test,test::0107006v1.3,ambigbig,ambigbig,ambighig,vision,other semantic,correct,other semantic
SciTSR,test,test::0206015v1.5,retrieval method,retrieval method,,vision,missing cell,correct,missing cell
SciTSR,test,test::0206015v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0206015v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0206015v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0207028v1.2,nf,n_f,nf,text,symbolic,symbolic,correct
SciTSR,test,test::0207028v1.2,,,,text,missing cell,missing cell,correct
SciTSR,test,test::0207028v1.2,,,,text,missing cell,missing cell,correct
SciTSR,test,test::0207028v1.2,nc,n_c,nc,text,symbolic,symbolic,correct
SciTSR,test,test::0312006v1.4,256 × 256,256 x 256,256 × 256,text,symbolic,symbolic,correct
SciTSR,test,test::0312006v1.4,512 × 512,512 x 512,512 × 512,text,symbolic,symbolic,correct
SciTSR,test,test::0312006v1.4,64 × 64,64 x 64,64 × 64,text,symbolic,symbolic,correct
SciTSR,test,test::0312006v1.4,128 × 128,128 x 128,128 × 128,text,symbolic,symbolic,correct
SciTSR,test,test::0312006v1.4,lattice size (not necessary power of 2),lattice size (not necessary power of 2),,vision,missing cell,correct,missing cell
SciTSR,test,test::0312006v1.4,1024 × 1024,1024 x 1024,1024 × 1024,text,symbolic,symbolic,correct
SciTSR,test,test::0312055v1.5,lavg,,lavg,text,missing cell,missing cell,correct
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,pavg,,pavg,text,missing cell,missing cell,correct
SciTSR,test,test::0312055v1.5,nrnd,,nrnd,text,missing cell,missing cell,correct
SciTSR,test,test::0312055v1.5,n,,n,text,missing cell,missing cell,correct
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,[ln n],,[ln n],text,missing cell,missing cell,correct
SciTSR,test,test::0312055v1.5,[n],,[n],text,missing cell,missing cell,correct
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,sequence,,sequence,text,missing cell,missing cell,correct
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,size,,size,text,missing cell,missing cell,correct
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0312055v1.5,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0407040v1.2,instance,,instance,text,missing cell,missing cell,correct
SciTSR,test,test::0407040v1.2,lds,,lds,text,missing cell,missing cell,correct
SciTSR,test,test::0407040v1.2,dbs,,dbs,text,missing cell,missing cell,correct
SciTSR,test,test::0407040v1.2,,instance,,text,empty content,empty content,correct
SciTSR,test,test::0407044v1.2,ratio=0.05,ratio=0.05,,vision,missing cell,correct,missing cell
SciTSR,test,test::0407044v1.2,ratio=0.025,ratio=0.025,,vision,missing cell,correct,missing cell
SciTSR,test,test::0407044v1.2,ratio=0.075,ratio=0.075,,vision,missing cell,correct,missing cell
SciTSR,test,test::0407044v1.2,ratio=0.1,ratio=0.1,ratio=0.05,vision,numeric value,correct,numeric value
SciTSR,test,test::0511091v1.3,rfv,rfv,,vision,missing cell,correct,missing cell
SciTSR,test,test::0511091v1.3,rfv + apriori knowledge,rfv + apriori knowledge,,vision,missing cell,correct,missing cell
SciTSR,test,test::0706.0585v1.8,wss-wr,wss-wr,wss- wr,vision,symbolic,correct,symbolic
SciTSR,test,test::0709.2961v1.1,-x - y ≤ d,,-x - y ≤ d,text,missing cell,missing cell,correct
SciTSR,test,test::0709.2961v1.1,x + y ≤ d,,x + y ≤ d,text,missing cell,missing cell,correct
SciTSR,test,test::0709.2961v1.1,-x ≤ d,,-x ≤ d,text,missing cell,missing cell,correct
SciTSR,test,test::0709.2961v1.1,x - y ≤ d,,x - y ≤ d,text,missing cell,missing cell,correct
SciTSR,test,test::0709.2961v1.1,x ≤ d,,x ≤ d,text,missing cell,missing cell,correct
SciTSR,test,test::0710.2156v3.2,dimensions,dimensions,,vision,missing cell,correct,missing cell
SciTSR,test,test::0710.2156v3.2,measures,measures,,vision,missing cell,correct,missing cell
SciTSR,test,test::0801.2398v2.2,n,,n,text,missing cell,missing cell,correct
SciTSR,test,test::0801.2398v2.2,,,,text,missing cell,missing cell,correct
SciTSR,test,test::0801.2398v2.4,n,,n,text,missing cell,missing cell,correct
SciTSR,test,test::0802.0550v1.3,1.844,2.267,1.844,text,numeric value,numeric value,correct
SciTSR,test,test::0802.0550v1.3,1.961,,1.961,text,missing cell,missing cell,correct
SciTSR,test,test::0802.0550v1.3,2.566,2.762,2.566,text,numeric value,numeric value,correct
SciTSR,test,test::0802.0550v1.3,3.043,2.486,3.043,text,numeric value,numeric value,correct
SciTSR,test,test::0802.0550v1.3,1.843,2.047,1.843,text,numeric value,numeric value,correct
SciTSR,test,test::0802.0550v1.3,2.086,2.046,2.086,text,numeric value,numeric value,correct
SciTSR,test,test::0802.0550v1.3,number,number of nodes,number,text,truncation / merge,truncation / merge,correct
SciTSR,test,test::0802.0550v1.3,"4,700",,"4,700",text,missing cell,missing cell,correct
SciTSR,test,test::0802.0550v1.3,neighborhood,neighborhood density,neighborhood,text,truncation / merge,truncation / merge,correct
SciTSR,test,test::0802.0550v1.3,,τ,,text,empty content,empty content,correct
SciTSR,test,test::0802.0550v1.3,,σ,,text,empty content,empty content,correct
SciTSR,test,test::0802.0550v1.3,2.762,2.461,2.762,text,numeric value,numeric value,correct
SciTSR,test,test::0802.0550v1.3,,τ,,text,empty content,empty content,correct
SciTSR,test,test::0802.0550v1.3,,σ,,text,empty content,empty content,correct
SciTSR,test,test::0802.0550v1.3,50,,50,text,missing cell,missing cell,correct
SciTSR,test,test::0802.0550v1.3,of nodes,"1,000",of nodes,text,other semantic,other semantic,correct
SciTSR,test,test::0802.0550v1.3,density,10,density,text,other semantic,other semantic,correct
SciTSR,test,test::0802.0550v1.3,τ,3.146,τ,text,other semantic,other semantic,correct
SciTSR,test,test::0802.0550v1.3,30,50,30,text,numeric value,numeric value,correct
SciTSR,test,test::0802.0550v1.3,2.057,2.114,2.057,text,numeric value,numeric value,correct
SciTSR,test,test::0802.0550v1.3,"2,800","4,700","2,800",text,numeric value,numeric value,correct
SciTSR,test,test::0802.0550v1.3,2.114,,2.114,text,missing cell,missing cell,correct
SciTSR,test,test::0802.0550v1.3,"1,900","2,800","1,900",text,numeric value,numeric value,correct
SciTSR,test,test::0802.0550v1.3,20,30,20,text,numeric value,numeric value,correct
SciTSR,test,test::0802.0550v1.3,3.408,3.043,3.408,text,numeric value,numeric value,correct
SciTSR,test,test::0802.0550v1.3,2.267,2.086,2.267,text,numeric value,numeric value,correct
SciTSR,test,test::0802.0550v1.3,sand,sand,,vision,missing cell,correct,missing cell
SciTSR,test,test::0802.0550v1.3,w/o-sand,w/o-sand,,vision,missing cell,correct,missing cell
SciTSR,test,test::0802.0550v1.3,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::0802.0550v1.3,2.486,,2.486,text,missing cell,missing cell,correct
SciTSR,test,test::0802.0550v1.3,σ,1.844,σ,text,other semantic,other semantic,correct
SciTSR,test,test::0802.0550v1.3,τ,2.566,τ,text,other semantic,other semantic,correct
SciTSR,test,test::0802.0550v1.3,σ,1.843,σ,text,other semantic,other semantic,correct
SciTSR,test,test::0802.0550v1.3,2.461,1.961,2.461,text,numeric value,numeric value,correct
SciTSR,test,test::0802.0550v1.3,"1,000","1,900","1,000",text,numeric value,numeric value,correct
SciTSR,test,test::0802.0550v1.3,2.047,2.057,2.047,text,numeric value,numeric value,correct
SciTSR,test,test::0802.0550v1.3,10,20,10,text,numeric value,numeric value,correct
SciTSR,test,test::0802.0550v1.3,2.046,,2.046,text,missing cell,missing cell,correct
SciTSR,test,test::0802.0550v1.3,3.146,3.408,3.146,text,numeric value,numeric value,correct
SciTSR,test,test::0807.4368v1.1,4,,4,text,missing cell,missing cell,correct
SciTSR,test,test::0807.4368v1.1,sequence b,,sequence b,text,missing cell,missing cell,correct
SciTSR,test,test::0812.4446v1.14,average accuracy,,average accuracy,text,missing cell,missing cell,correct
SciTSR,test,test::0812.4446v1.14,,,,text,missing cell,missing cell,correct
SciTSR,test,test::0902.3176v4.1,logistic regression,,logistic regression,text,missing cell,missing cell,correct
SciTSR,test,test::0902.3176v4.1,j48,,j48,text,missing cell,missing cell,correct
SciTSR,test,test::0902.3176v4.1,,dataset(k),,text,empty content,empty content,correct
SciTSR,test,test::0902.3176v4.1,dataset(k),,dataset(k),text,missing cell,missing cell,correct
SciTSR,test,test::0903.0471v1.1,,,,text,missing cell,missing cell,correct
SciTSR,test,test::0903.0471v1.1,,,,text,missing cell,missing cell,correct
SciTSR,test,test::0903.0471v1.1,,,,text,missing cell,missing cell,correct
SciTSR,test,test::0905.0586v1.3,length,,length,text,missing cell,missing cell,correct
SciTSR,test,test::0905.0586v1.3,4 nodes without com. time,,4 nodes without com. time,text,missing cell,missing cell,correct
SciTSR,test,test::0905.0586v1.3,,,,text,missing cell,missing cell,correct
SciTSR,test,test::0905.0792v1.2,memory,memory,,vision,missing cell,correct,missing cell
SciTSR,test,test::0905.0792v1.2,l3,l3,,vision,missing cell,correct,missing cell
SciTSR,test,test::0907.2268v2.2,top,top,undis,vision,other semantic,correct,other semantic
SciTSR,test,test::0907.2268v2.2,msn live,msn live,msn liv,vision,truncation / merge,correct,truncation / merge
SciTSR,test,test::0907.2268v2.2,,,,text,missing cell,missing cell,correct
SciTSR,test,test::0907.2268v2.2,top100,top100,top10,vision,truncation / merge,correct,truncation / merge
SciTSR,test,test::0907.2268v2.2,top10,top10,top,vision,truncation / merge,correct,truncation / merge
SciTSR,test,test::0907.2268v2.2,,,,text,missing cell,missing cell,correct
SciTSR,test,test::0907.2268v2.2,undis,undis,top100,vision,other semantic,correct,other semantic
SciTSR,test,test::0907.2990v1.2,0.4,0.6,0.4,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,0.6,0.8,0.6,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,1.0,0.2,1.0,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,0.2,0.4,0.2,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,0.2,0.4,0.2,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,0.8,1.0,0.8,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,0.4,0.6,0.4,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,0.2,0.4,0.2,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,1.0,0.2,1.0,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,0.8,1.0,0.8,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,0.6,0.8,0.6,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,0.4,0.6,0.4,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,9,6,9,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,12,15,12,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,11,9,11,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,15,6,15,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,0.4,11,0.4,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,6,5,6,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,5,2,5,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,12,,12,text,missing cell,missing cell,correct
SciTSR,test,test::0907.2990v1.2,2,6,2,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,2,12,2,text,truncation / merge,truncation / merge,correct
SciTSR,test,test::0907.2990v1.2,6,13,6,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,0,2,0,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,13,0,13,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,0,1,0,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,13,0,13,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,1,7,1,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,7,13,7,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,7,,7,text,missing cell,missing cell,correct
SciTSR,test,test::0907.2990v1.2,3,7,3,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,6,3,6,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,1.0,15,1.0,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,15,8,15,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,12,0,12,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,8,5,8,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,9,12,9,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,5,8,5,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,3,9,3,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,8,11,8,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,4,3,4,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,11,15,11,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,15,11,15,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,15,4,15,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,11,3,11,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,11,15,11,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,3,1,3,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,9,11,9,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,1,6,1,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,3,9,3,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,6,13,6,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,6,3,6,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,13,4,13,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,15,6,15,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,4,0,4,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,0.6,15,0.6,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,0,1,0,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,1,4,1,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,9,,9,text,missing cell,missing cell,correct
SciTSR,test,test::0907.2990v1.2,4,,4,text,missing cell,missing cell,correct
SciTSR,test,test::0907.2990v1.2,4,9,4,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,0,4,0,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,3,0,3,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,9,3,9,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,6,9,6,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,8,6,8,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,12,8,12,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,15,12,15,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,11,15,11,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,6,11,6,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,5,6,5,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,15,5,15,text,truncation / merge,truncation / merge,correct
SciTSR,test,test::0907.2990v1.2,10,15,10,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,7,10,7,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,13,7,13,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,11,13,11,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,0.2,11,0.2,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,rdd:,rdd: 0.2,rdd:,text,truncation / merge,truncation / merge,correct
SciTSR,test,test::0907.2990v1.2,1.0,,1.0,text,missing cell,missing cell,correct
SciTSR,test,test::0907.2990v1.2,0.8,1.0,0.8,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,0.6,0.8,0.6,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,0,5,0,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,5,6,5,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,6,,6,text,missing cell,missing cell,correct
SciTSR,test,test::0907.2990v1.2,0.8,15,0.8,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,15,4,15,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,4,7,4,text,numeric value,numeric value,correct
SciTSR,test,test::0907.2990v1.2,7,12,7,text,numeric value,numeric value,correct
SciTSR,test,test::0907.3177v1.1,approximate entropy (m = 10),approximate entropy (m = 10),approximate entropy (m=10),vision,symbolic,correct,symbolic
SciTSR,test,test::0907.3177v1.1,serial (m = 16),serial (m = 16),serial (m=16),vision,symbolic,correct,symbolic
