dataset,group,table_id,gt_text,vision_text,text_text,winner,vt_diff,vision_vs_gt,text_vs_gt
A25,Biology,Biology::122_2019_Article_3517-1,niab elite magic1,niab elite magic1,niab elite magic ¹,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,bmw magic2,bmw magic2,bmw magic ²,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,apogee x paragon3,apogee x paragon3,apogee × paragon ³,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,bmw magic2,bmw magic2,bmw magic ²,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,niab elite magic1,niab elite magic1,niab elite magic ¹,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,bmw magic2,bmw magic2,bmw magic ²,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,paragon x cs5. reference genome8,paragon x cs5. reference genome8,paragon × cs ⁵. reference genome ⁸,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,niab elite magic1. claire x malacca9. genome sequence10,niab elite magic1. claire x malacca9. genome sequence10,niab elite magic ¹. claire × malacca ⁹. genome sequence ¹⁰,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,dic12b †,dic12b†,dic12b †,text,symbolic,symbolic,correct
A25,Biology,Biology::122_2019_Article_3517-1,bmw magic2,bmw magic2,bmw magic ²,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,oakley x exsept6,oakley x exsept6,oakley × exsept ⁶,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,fir13565,firl3565,fir13565,text,other semantic,other semantic,correct
A25,Biology,Biology::122_2019_Article_3517-1,bmw magic2,bmw magic2,bmw magic ²,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,bmw magic2,bmw magic2,bmw magic ²,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,oakley x gatsby6,oakley x gatsby6,oakley × gatsby ⁶,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,niab elite magic1,niab elite magic1,niab elite magic ¹,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,bmw magic2,bmw magic2,bmw magic ²,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,claire x malacca9,claire x malacca9,claire × malacca ⁹,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,"paragon x cs5, paragon x shw cssl12, genome sequence10","paragon x cs5, paragon x shw cssl12, genome sequence10","paragon × cs ⁵, paragon × shw cssl ¹², genome sequence ¹⁰",vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,bmw magic2,bmw magic2,bmw magic ²,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,niab elite magic1,niab elite magic1,niab elite magic ¹,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,niab elite magic1. genome sequence10,niab elite magic1. genome sequence10,niab elite magic ¹. genome sequence ¹⁰,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,0,0,0.7,vision,truncation / merge,correct,truncation / merge
A25,Biology,Biology::122_2019_Article_3517-1,niab elite magic1,niab elite magic1,niab elite magic ¹,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,0.7,0.7,0,vision,truncation / merge,correct,truncation / merge
A25,Biology,Biology::122_2019_Article_3517-1,tios †,tios†,tios †,text,symbolic,symbolic,correct
A25,Biology,Biology::122_2019_Article_3517-1,tios x dic12b11,tios x dic12b11,tios × dic12b ¹¹,vision,symbolic,correct,symbolic
A25,Biology,Biology::122_2019_Article_3517-1,0,0,2.8,vision,numeric value,correct,numeric value
A25,Biology,Biology::122_2019_Article_3517-1,2.8,2.8,,vision,empty content,correct,empty content
A25,Biology,Biology::12711_2023_Article_837-1,0.34 (0.07),0.34 (0.07),0.34(0.07),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.25 (0.07),0.25 (0.07),0.25(0.07),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,-0.37 (0.15),-0.37 (0.15),-0.37(0.15),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,-0.50 (0.02),-0.50 (0.02),-0.50(0.02),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.42 (0.07),0.42 (0.07),0.42(0.07),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.22 (0.06),0.22 (0.06),0.22(0.06),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.42 (0.16),0.42 (0.16),0.42(0.16),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,-0.06 (0.02),-0.06 (0.02),-0.06(0.02),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.14 (0.05),0.14 (0.05),0.14(0.05),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.24 (0.07),0.24 (0.07),0.24(0.07),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.11 (0.23),0.11 (0.23),0.11(0.23),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,-0.10 (0.02),-0.10 (0.02),-0.10(0.02),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.26 (0.06),0.26 (0.06),0.26(0.06),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.25 (0.07),0.25 (0.07),0.25(0.07),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.10 (0.19),0.10 (0.19),0.10(0.19),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.03 (0.02),0.03 (0.02),0.03(0.02),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.34 (0.07),0.34 (0.07),0.34(0.07),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.25 (0.07),0.25 (0.07),0.25(.07),vision,numeric value,correct,numeric value
A25,Biology,Biology::12711_2023_Article_837-1,-0.06 (0.18),-0.06 (0.18),-0.06(0.18),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.06 (0.02),0.06 (0.02),0.06(0.02),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.39 (0.07),0.39 (0.07),0.39(0.07),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.25 (0.07),0.25 (0.07),0.25(0.07),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.11 (0.17),0.11 (0.17),0.11(.017),vision,other semantic,correct,other semantic
A25,Biology,Biology::12711_2023_Article_837-1,0.03 (0.02),0.03 (0.02),0.03(.02),vision,numeric value,correct,numeric value
A25,Biology,Biology::12711_2023_Article_837-1,0.32 (0.06),0.32 (0.06),0.32(0.06),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.21 (0.06),0.21 (0.06),0.21(0.06),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,-0.31 (0.18),-0.31 (0.18),-0.31(.018),vision,other semantic,correct,other semantic
A25,Biology,Biology::12711_2023_Article_837-1,-0.05 (0.02),-0.05 (0.02),-0.05(.02),vision,numeric value,correct,numeric value
A25,Biology,Biology::12711_2023_Article_837-1,0.18 (0.06),0.18 (0.06),0.18(0.06),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.24 (0.07),0.24 (0.07),0.24(.07),vision,numeric value,correct,numeric value
A25,Biology,Biology::12711_2023_Article_837-1,0.23 (0.21),0.23 (0.21),0.23(.021),vision,other semantic,correct,other semantic
A25,Biology,Biology::12711_2023_Article_837-1,0.09 (0.02),0.09 (0.02),0.09(.02),vision,numeric value,correct,numeric value
A25,Biology,Biology::12711_2023_Article_837-1,0.26 (0.07),0.26 (0.07),0.26(0.07),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.24 (0.07),0.24 (0.07),0.24(.07),vision,numeric value,correct,numeric value
A25,Biology,Biology::12711_2023_Article_837-1,-0.19 (0.19),-0.19 (0.19),-0.19(.019),vision,other semantic,correct,other semantic
A25,Biology,Biology::12711_2023_Article_837-1,-0.13 (0.02),-0.13 (0.02),-0.13(.02),vision,numeric value,correct,numeric value
A25,Biology,Biology::12711_2023_Article_837-1,0.16 (0.05),0.16 (0.05),0.16(0.05),vision,symbolic,correct,symbolic
A25,Biology,Biology::12711_2023_Article_837-1,0.23 (0.06),0.23 (0.06),0.23(.06),vision,numeric value,correct,numeric value
A25,Biology,Biology::12711_2023_Article_837-1,0.59 (0.20),0.59 (0.20),0.59(.020),vision,other semantic,correct,other semantic
A25,Biology,Biology::12711_2023_Article_837-1,0.04 (0.02),0.04 (0.02),0.04(.02),vision,numeric value,correct,numeric value
A25,Biology,Biology::12864_2016_Article_2858-1,13 (50 %),13 (50 %),13(50 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,13 (50 %),13 (50 %),13(50 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,1 (10 %),1 (10 %),1(10 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,9 (90 %),9 (90 %),9(90 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,3 (100 %),3 (100 %),3(100 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,0 (0 %),0 (0 %),0(0 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,0 (0 %),0 (0 %),0(0 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,1(100 %),1 (100 %),1(100 %),text,symbolic,symbolic,correct
A25,Biology,Biology::12864_2016_Article_2858-1,5 (100 %),5 (100 %),5(100 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,0 (0 %),0 (0 %),0(0 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,0 (0 %),0 (0 %),0(0 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,0 (0 %),0 (0 %),0(0 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,2 (100 %),2 (100 %),2(100 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,0 (0 %),0 (0 %),0(0 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,2 (100 %),2 (100 %),2(100 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,0 (0 %),0 (0 %),0(0 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,139 (79 %),139 (79 %),139(79 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,36 (21 %),36 (21 %),36(21 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,0(0 %),0 (0 %),0(0 %),text,symbolic,symbolic,correct
A25,Biology,Biology::12864_2016_Article_2858-1,0 (0 %),0 (0 %),0(0 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,0.,0,0.,text,truncation / merge,truncation / merge,correct
A25,Biology,Biology::12864_2016_Article_2858-1,0 (0 %),0 (0 %),0(0 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,5 (100 %),5 (100 %),5(100 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,92 (78 %),92 (78 %),92(78 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,26 (22 %),26 (22 %),26(22 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,45 (75 %),45 (75 %),45(75 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,15(25 %),15 (25 %),15(25 %),text,symbolic,symbolic,correct
A25,Biology,Biology::12864_2016_Article_2858-1,33 (73 %),33 (73 %),33(73 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,12(27 %),12 (27 %),12(27 %),text,symbolic,symbolic,correct
A25,Biology,Biology::12864_2016_Article_2858-1,42 (78 %),42 (78 %),42(78 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,12(22 %),12 (22 %),12(22 %),text,symbolic,symbolic,correct
A25,Biology,Biology::12864_2016_Article_2858-1,35 (100 %),35 (100 %),35(100 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,0 (0 %),0 (0 %),0(0 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,41 (75 %),41 (75 %),41(75 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,14 (25 %),14 (25 %),14(25 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,18 (24 %),18 (24 %),18(24 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,58 (76 %),58 (76 %),58(76 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,18 (78 %),18 (78 %),18(78 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,5 (22 %),5 (22 %),5(22 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,0 (0 %),0 (0 %),0(0 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,1 (100 %),1 (100 %),1(100 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,35 (100 %),35 (100 %),35(100 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,0 (0 %),0 (0 %),0(0 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,52 (60 %),52 (60 %),52(60 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12864_2016_Article_2858-1,35 (40 %),35 (40 %),35(40 %),vision,symbolic,correct,symbolic
A25,Biology,Biology::12889_2020_Article_9579,women (n=1839),women (n = 1839),women (n=1839),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,men (n=1508),men (n = 1508),men (n=1508),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,52.10(8.92),52.10 (8.92),52.10(8.92),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,53.83(9.40),53.83 (9.40),53.83(9.40),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,84.26(10.70),84.26 (10.70),84.26(10.70),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,86.95(10.15),86.95 (10.15),86.95(10.15),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,131.29(23.06),131.29 (23.06),131.29(23.06),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,134.34(22.57),134.34 (22.57),134.34(22.57),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,82.05(14.43),82.05 (14.43),82.05(14.43),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,84.36(14.18),84.36 (14.18),84.36(14.18),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,184.92(33.47),184.92 (33.47),184.92(33.47),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,183.40(33.26),183.40 (33.26),183.40(33.26),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,50.94(11.80),50.94 (11.80),50.94(11.80),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,49.11(9.84),49.11 (9.84),49.11(9.84),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,67(3.64),67 (3.64),67(3.64),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,48(3.18),48 (3.18),48(3.18),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,122(6.63),122 (6.63),122(6.63),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,143(9.48),143 (9.48),143(9.48),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,256(13.92),256 (13.92),256(13.92),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,50(3.32),50 (3.32),50(3.32),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,238(12.94),238 (12.94),238(12.94),text,symbolic,symbolic,correct
A25,Biology,Biology::12889_2020_Article_9579,632(41.91),632 (41.91),632(41.91),text,symbolic,symbolic,correct
A25,Biology,Biology::13059_2021_Article_2398-1,2.37%,2.37%,2.37 %,vision,symbolic,correct,symbolic
A25,Biology,Biology::13059_2021_Article_2398-1,1.13%,1.13%,1.13 %,vision,symbolic,correct,symbolic
A25,Biology,Biology::13059_2021_Article_2398-1,1.38%,1.38%,1.38 %,vision,symbolic,correct,symbolic
A25,Biology,Biology::13059_2021_Article_2398-1,1.07%,1.07%,1.07 %,vision,symbolic,correct,symbolic
A25,Biology,Biology::13059_2021_Article_2398-1,0.76%,0.76%,0.76 %,vision,symbolic,correct,symbolic
A25,Biology,Biology::13059_2021_Article_2398-1,1.62%,1.62%,1.62 %,vision,symbolic,correct,symbolic
A25,Biology,Biology::1471_2164_11_551-1,group,group,,vision,missing cell,correct,missing cell
A25,Biology,Biology::1471_2164_11_551-1,average marker distance (cm),average marker distance (cm),average markerª distance (cm),vision,other semantic,correct,other semantic
A25,Biology,Biology::1471_2164_11_551-1,number of skewed markers,number of skewed markers,number of skewed,vision,truncation / merge,correct,truncation / merge
